"ID","Model","system_prompt","scores_in_prompt","prefix","Checkpoint 1 Model Name","Checkpoint 2 Model Name","Final Model Name"
"1","gpt-4o-mini","minimal_prompt","both_raw","min-e3-b8-m10-v10","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e3-b8-m10-v10:CahO58ol:ckpt-step-108","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e3-b8-m10-v10:CahO6W88:ckpt-step-216","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e3-b8-m10-v10:CahO6KtY"
"2","gpt-4o-mini","none","none","raw-e5-b16-m08-v10","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e5-b16-m08-v10:CaRGPtkb:ckpt-step-189","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e5-b16-m08-v10:CaRGQuyf:ckpt-step-252","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e5-b16-m08-v10:CaRGQPzO"
"3","gpt-4o-mini","compact_prompt","both_binned","cmp-e4-b24-m12-v15","ft:gpt-4o-mini-2024-07-18:litero-ai:cmp-e4-b24-m12-v15:CahcmZUw:ckpt-step-68","ft:gpt-4o-mini-2024-07-18:litero-ai:cmp-e4-b24-m12-v15:Cahcn1EH:ckpt-step-102","ft:gpt-4o-mini-2024-07-18:litero-ai:cmp-e4-b24-m12-v15:CahcnBqU"
"4","gpt-4o-mini","minimal_prompt","ai_score_raw","min-e6-b16-m05-v20","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e6-b16-m05-v20:CahSgyY6:ckpt-step-192","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e6-b16-m05-v20:CahSh7LI:ckpt-step-240","ft:gpt-4o-mini-2024-07-18:litero-ai:min-e6-b16-m05-v20:CahShBED"
"5","gpt-4o-mini","rich_prompt_with_counter_examples","both_raw","rubx-e8-b32-m03-v15","ft:gpt-4o-mini-2024-07-18:litero-ai:rubx-e8-b32-m03-v15:Cb72VhZJ:ckpt-step-156","ft:gpt-4o-mini-2024-07-18:litero-ai:rubx-e8-b32-m03-v15:Cb72Vw9D:ckpt-step-182","ft:gpt-4o-mini-2024-07-18:litero-ai:rubx-e8-b32-m03-v15:Cb72Wl7e"
"6","gpt-4o-mini","none","ai_score_binned","raw-e3-b8-m15-v10","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e3-b8-m15-v10:CaRj5ACC:ckpt-step-114","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e3-b8-m15-v10:CaRj5OHp:ckpt-step-228","ft:gpt-4o-mini-2024-07-18:litero-ai:raw-e3-b8-m15-v10:CaRj65OZ"
"7","gpt-4.1-mini","minimal_prompt","both_raw","min-e3-b8-m10-v10-d2","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e3-b8-m10-v10-d2:CahD9VbJ:ckpt-step-108","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e3-b8-m10-v10-d2:CahDA1Ig:ckpt-step-216","ft:gpt-4.1-mini-2025-04-14:litero-ai:min-e3-b8-m10-v10-d2:CahDAVzH"
"8","gpt-4.1-mini","compact_prompt","both_binned","cmp-e5-b16-m08-v15","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e5-b16-m08-v15:CahetWak:ckpt-step-153","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e5-b16-m08-v15:CahetKtG:ckpt-step-204","ft:gpt-4.1-mini-2025-04-14:litero-ai:cmp-e5-b16-m08-v15:CaheuKck"
"9","gpt-4.1-mini","none","none","raw-e4-b24-m06-v20","ft:gpt-4.1-mini-2025-04-14:litero-ai:raw-e4-b24-m06-v20:CaRJbV6v:ckpt-step-76","ft:gpt-4.1-mini-2025-04-14:litero-ai:raw-e4-b24-m06-v20:CaRJcxPt:ckpt-step-114","ft:gpt-4.1-mini-2025-04-14:litero-ai:raw-e4-b24-m06-v20:CaRJcZNh"
"10","gpt-4.1-mini","rich_prompt_with_negative_examples","ai_score_raw","rdesc-e6-b20-m10-v10","ft:gpt-4.1-mini-2025-04-14:litero-ai:rdesc-e6-b20-m10-v10:Cb6zK3tG:ckpt-step-172","ft:gpt-4.1-mini-2025-04-14:litero-ai:rdesc-e6-b20-m10-v10:Cb6zLzME:ckpt-step-215","ft:gpt-4.1-mini-2025-04-14:litero-ai:rdesc-e6-b20-m10-v10:Cb6zLrfo"
